on_time_flag,detention_minutes,weight_lbs,typical_distance_miles,base_rate_per_mile,years_experience,revenue,actual_duration_hours,typical_transit_days
True,230,19178,1271,2.33,11.0,3045.23,26.2,2
False,67,27761,519,2.27,3.0,1224.48,8.6,1
True,11,35594,2332,2.69,20.0,7171.12,45.0,4
False,142,33274,673,1.7,21.0,1308.2,11.1,1
True,236,40257,2172,1.77,24.0,3317.18,35.0,3
False,0,34671,2017,1.84,10.0,3582.78,39.4,3
True,84,14530,1311,2.71,6.0,3872.46,20.9,2
False,111,16927,2729,2.5,25.0,5914.9,50.5,4
False,182,38964,3141,1.65,6.0,4759.42,51.4,5
False,230,29233,3141,1.65,13.0,5723.39,60.2,5
False,0,34882,519,2.27,24.0,1206.59,9.9,1
True,30,38553,804,1.63,16.0,1248.4,14.3,1
False,126,40675,697,2.08,16.0,1541.78,12.4,1
False,20,32114,2259,1.99,13.0,4948.67,35.0,3
True,237,11712,675,2.13,12.0,1286.22,11.4,1
True,30,24063,92,2.79,21.0,224.7,1.9,1
True,218,34281,1557,2.01,15.0,3521.84,25.5,2
False,14,35885,1311,2.71,17.0,3622.99,25.8,2
True,208,19754,2389,2.71,15.0,6009.91,44.7,4
False,95,27587,677,1.7,8.0,1070.73,10.3,1
True,144,19296,2623,2.39,18.0,6543.53,48.0,4
False,161,18806,878,1.95,3.0,1754.79,14.6,1
True,109,43889,2332,2.69,11.0,5546.99,46.4,4
False,87,19601,1229,1.69,7.0,1947.42,19.9,2
False,135,20324,2332,2.12,2.0,4479.29,41.3,4
False,48,44197,557,1.95,11.0,1091.98,9.4,1
False,140,17186,519,2.27,11.0,1195.13,8.3,1
False,0,35037,2017,1.84,3.0,4096.78,34.2,3
False,190,14471,1984,1.72,14.0,2985.66,32.7,3
True,36,41155,92,1.61,16.0,166.6,1.6,1
False,162,20882,2623,2.39,21.0,5386.12,48.0,4
False,131,44284,675,2.13,23.0,1241.88,11.9,1
True,235,35731,167,2.42,21.0,397.65,3.2,1
True,35,35141,2332,2.12,2.0,5336.08,40.9,4
False,93,32941,1984,1.72,21.0,3333.54,32.7,3
True,103,27839,2172,1.77,2.0,4255.48,42.8,3
False,90,30111,1429,2.51,5.0,3648.12,26.5,2
False,197,29891,557,1.95,9.0,1144.42,9.6,1
False,0,37685,3141,1.65,14.0,5362.03,57.7,5
False,46,15118,2729,2.5,24.0,6049.16,45.5,4
True,4,40655,1576,2.54,2.0,4409.48,32.0,2
False,139,25321,167,2.42,18.0,380.59,3.1,1
True,137,37867,2623,2.39,5.0,7166.34,48.6,4
True,26,38265,1718,2.47,11.0,4320.1,34.8,2
True,173,33321,640,2.19,11.0,1397.3,11.4,1
False,185,18519,167,2.42,18.0,349.73,3.0,1
True,5,28659,2172,1.77,23.0,3834.6,34.7,3
True,61,34466,777,2.35,23.0,1820.31,16.3,1
True,0,14164,1216,2.75,23.0,2970.83,23.8,2
True,65,18373,262,2.63,15.0,586.48,4.5,1
False,82,18900,777,2.35,18.0,1908.52,13.3,1
False,37,41933,1559,1.55,25.0,2709.18,31.5,2
False,51,31661,777,2.35,15.0,1772.1,14.8,1
True,0,26730,597,2.33,7.0,1558.56,9.7,1
False,110,28665,2623,2.39,23.0,6217.14,40.9,4
